School Name,Address,Phone number
NAWALE SHARAD J ,444 B RASTA PETH - 11,-1
NEW ENGLISH SCHOOL,TILAK RD PUNE - 30,4336029  
NEW ENGLISH SCHOOL,PHURSUNGI TILAK RD PUNE - 30,6980214
NEW ERA SCHOOL,SACHAPIR STREET PUNE - 01,-1
NEW LIFE CENTRE PRIMARY SCHOOL,"711, SHANKAR SHETH ROAD PUNE - 42",-1
NEW PRIMARY SCHOOL,486 SADASHIV PETH PUNE.,4331517
N G NARALKAR FOUNDATION,BAHIRATWADI S'NGR PUNE,5677513
NOVITIATE HOUSE OF TRAINING NURSERY,5 BOAT CLUB ROAD PUNE - 01,-1
NUTAN BALVIKAS MANDIR PRIMARY SCHOO,1493/C SADASHIV PETH PUNE  - 30,-1
NUTAN BHARAT MARATHI VIDYALAYA,707 BUDHWAR PETH PUNE - 02,-1
NUTAN MARATHI VIDYALAYA PHONE : 4333517,"BEHIND S P COLLEGE,SADASHIV PETH PUNE - 30",-1
"
ORNELAS HIGH SCHOOL",QUATER GATE PUNE - 02,"6129939,6136276"
PATWARDHAN SCHOOL FOR GIRL,689 NARAYAN PETH PUNE - 30,-1
PE SOCIETY PREPARATORY PRIMARY SCHO,YAMUNA NAGAR NIGDI PUNE - 44,-1
PES GIRLS SCHOOL,SHIVAJINAGAR PUNE - 05,-1
POONA ENGLISH ADVENTIST SCHOOL,SALUSBARY PARK PUNE - 01,-1
POONA ISLAMIYA BOYS & GIRLS SCHOOL,2015 B GAFFAR BAUG ST PUNE - 01,-1
POONA SAH VIDYALAYA,5 BAJIRAO ROAD PUNE,6122801
POONA SAH & HOME FOR BLIND,1417 KOREGAON PARK PUNE.,"6129699,6122686"
POONA WOMENS COUN PRIM. SCHOOL ,RAJANDRA SINHAJI RD PUNE.,"6361617,6360904"
PRAMILA VITHALDAS KANYASHALA,SNDT COMPOUND KARVE ROAD PUNE - 04,-1
PRATHMIK SHIKSHAN MANDAL SHIKSHAN SANS ,351 RASTA PETH PUNE-11,121580 
PRATHMIK SHIKSHAN SANGH ,48/A ERANDAWANA PUNE.,5443007
PRERANA VINITA MANDAL PHONE : 4372340,VINITA MANDAL BLDF DHANKAWADI PUNE ,-1
PRINCIPAL SADHANA ENGLISH SCHOOL,MALWADI HADPASAR PUNE.,6822494
PRIYA DARSHINI ENGLISH SCHOOL,"12, SAMARTH NAGAR, GULAB NAGAR PUNE - 43",-1
PROF DR NARHAR KRISHNA GHARPURE HIGH SCHOOL,1389 SHUKRAWAR PETH PUNE - 02,4471681
PUNE ENGLISH ADVENTIST SCHOOL,SALISBURY PARK PUNE,-1
RANGE HILL ENGLISH SCHOOL,RANGE HILLS PUNE - 20,-1
RAO BAHADUR LAXMANRAO APTE VIDYALAY,1244/45 APTE ROAD PUNE - 04,-1
RAOSAHEB PATWARDHAN VIDYALAYA,SANE GURUJI SMARAK PUNE - 30 PUNE : 4333828,-1
RASHINI HIGH SCHOOL,10 R AMDEDKAR ROAD PUNE - 01,-1
RASHMI SCHOOL,ALANDI ROAD YERWADA PUNE - 06,-1
RASTA PETH EDUCATION SOC HIGH SCHOO,352 SOMWAR PETH PUNE - 11,-1
RAYAT SHIKSHAN SANSTHA YASHWANT VID,KHADAKVASLA PUNE - 24,-1
RCM GUJRATHI SCHOOL,596 BUDHWAR PETH PUNE - 02,-1
REGIMENTAL CHILDREN SCHOOL ,CME PUNE.,7145542 
REWACHAND BHOJWANI ACADEMY,5 STANLEY RD PUNE - 01,-1
RIVERDALE INTERNATIONAL SCHOOL (BOARDING),MULSHI-PAUD PUNE,-1
ROSARY HIGH SCHOOL ,15-16 AMBEDKAR ROAD PUNE,6134668
"ROSHNI SCHOOL 

uneDiary.com",392 GEN THIMMAYA ROAD PUNE - 01,-1
SADHANA GIRLS HIGH SCHOOL,HADAPSAR PUNE - 28,-1
SADHARA VIDYALAYA,HADAPSAR PUNE - 28,-1
SAMARTH VIDYAMANDIR,BANK OF INDIA COLONY B/18 PUNE - 09,-1
SAMATA VIDYALAYA ,URALI DEVACHI PUNE.,6989310
SANJANABAI BHANDARI VIDYALAYA ,PANMALA TADIWALA ROAD PUNE.,6133609 
SARASWATI VIDYALAYA,414 SOMWAR PETH PUNE - 11,-1
SARDAR DASTUR BOYS SCHOOL,TARAPORE ROAD PUNE - 06,-1
SARDAR DASTUR GIRLS HIGH SCHOOL,3 MOLEDINA ROAD PUNE - 01,-1
